timestamp,equity
2025-09-16 00:00:00+05:30,100000.0
2025-09-17 00:00:00+05:30,100000.0
2025-09-18 00:00:00+05:30,100000.0
2025-09-19 00:00:00+05:30,100000.0
2025-09-22 00:00:00+05:30,100000.0
2025-09-23 00:00:00+05:30,100000.0
2025-09-24 00:00:00+05:30,100000.0
2025-09-25 00:00:00+05:30,100000.0
2025-09-26 00:00:00+05:30,100000.0
2025-09-29 00:00:00+05:30,100000.0
2025-09-30 00:00:00+05:30,100000.0
2025-10-01 00:00:00+05:30,100000.0
2025-10-03 00:00:00+05:30,100000.0
2025-10-06 00:00:00+05:30,100000.0
2025-10-07 00:00:00+05:30,100000.0
2025-10-08 00:00:00+05:30,100000.0
2025-10-09 00:00:00+05:30,100000.0
2025-10-10 00:00:00+05:30,100000.0
2025-10-13 00:00:00+05:30,100000.0
2025-10-14 00:00:00+05:30,99090.067
2025-10-15 00:00:00+05:30,99099.217
2025-10-16 00:00:00+05:30,99100.067
2025-10-17 00:00:00+05:30,99102.26699999999
2025-10-20 00:00:00+05:30,99120.617
2025-10-21 00:00:00+05:30,99120.967
2025-10-23 00:00:00+05:30,99124.667
2025-10-24 00:00:00+05:30,99117.617
2025-10-27 00:00:00+05:30,99135.867
2025-10-28 00:00:00+05:30,99143.367
2025-10-29 00:00:00+05:30,99152.867
2025-10-30 00:00:00+05:30,99147.467
2025-10-31 00:00:00+05:30,99150.117
2025-11-03 00:00:00+05:30,99162.817
2025-11-04 00:00:00+05:30,99170.717
2025-11-06 00:00:00+05:30,99173.867
2025-11-07 00:00:00+05:30,99168.967
2025-11-10 00:00:00+05:30,99164.26699999999
2025-11-11 00:00:00+05:30,99166.417
2025-11-12 00:00:00+05:30,99170.26699999999
2025-11-13 00:00:00+05:30,99167.117
2025-11-14 00:00:00+05:30,99180.967
2025-11-17 00:00:00+05:30,99186.467
2025-11-18 00:00:00+05:30,99185.567
2025-11-19 00:00:00+05:30,99195.867
2025-11-20 00:00:00+05:30,99194.667
2025-11-21 00:00:00+05:30,99185.717
2025-11-24 00:00:00+05:30,99183.717
2025-11-25 00:00:00+05:30,99196.717
2025-11-26 00:00:00+05:30,99197.01699999999
2025-11-27 00:00:00+05:30,99185.967
2025-11-28 00:00:00+05:30,99192.117
2025-12-01 00:00:00+05:30,99186.217
2025-12-02 00:00:00+05:30,99180.417
2025-12-03 00:00:00+05:30,99164.167
